class,Main_L,Main_A,Main_B
 22a,31.2001,6.89035,10.6098
 22b,27.0091,4.26319,11.4963
 22c,32.8877,4.4009,12.3156
 22d,41.6073,3.73894,13.4307
 22e,34.7903,15.0806,20.894
 22f,27.2334,4.36801,11.4774
 22g,21.7741,4.1029,10.8416
 22h,42.6241,3.70728,13.2969
 22i,26.8792,4.56911,11.3179
 22j,42.7399,3.564,13.4088
 22k,40.2306,10.8313,23.6973
 22l,38.2663,3.92629,12.8926
 22m,29.5469,4.47659,11.7594
 22n,28.3597,4.32764,11.6536
 22o,54.7549,3.80789,12.3638
 22p,33.2882,4.2603,12.3669
 22q,42.4023,3.1394,13.6249
 22r,41.7012,7.24728,26.6953
 22s,28.6588,4.36927,11.7496
 22t,28.9842,4.42131,11.711
 22u,33.3298,4.45651,12.9465
 22v,34.9485,4.37241,12.5016
